썸네일,보도 일자,언론사,기사 제목,URL,기사내용,카테고리
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2022%2F09%2F23%2F13457907.jpg&type=ff264_180&expire=2&refresh=true,1일 전,연합뉴스,대구 1436명 신규 확진…사망자 8명 추가,https://www.yna.co.kr/view/AKR20220923046300053?input=1195m, 대구에서 신종 코로나바이러스 감염증(코로나19) 신규 확진자가 1천436명 더 나왔다. 23일 대구시 재난안전대책본부에 따르면 이날 0시 기준 코로나19 누적 확진자 수는 전날보다 1천436명(해외유입 9명)... ,코로나
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F09%2F22%2F11434606.jpg&type=ff264_180&expire=2&refresh=true,2일 전,뉴시스 ,"전국시도교육감협의회, 대구서 총회…IB교육 확산 계기",http://www.newsis.com/view/?id=NISX20220922_0002023341&cID=10810&pID=10800, 제86회 전국시도교육감협의회 총회가 22일 대구시 수성구 호텔 수성에서 개최됐다. 전국시도교육감협의회는... 안건 심의 후 강은희 대구교육감은 '생각을 꺼내는 교육 국제 바칼로레아(IB)'를 주제로 IB교육 전반에 대해... ,사회
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F657%2F2022%2F09%2F23%2F7057.jpg&type=ff264_180&expire=2&refresh=true,1일 전,대구MBC ,"[단독] 대구 수돗물에서 나온 '연두색 물질', 녹조?",https://dgmbc.com/article/4FPZcBWbP6bOIY64aJp, 대구문화방송은 지난 7월 대구의 주요 정수장들의 정수에서 녹조의 독성물질인 마이크로시스틴이 검출된 사실을 보도했습니다. 그런데 이번에는 가정집 수돗물에서 녹조로 보이는 연두색 물질이 나왔습니다.... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F09%2F22%2F11434213.jpg&type=ff264_180&expire=2&refresh=true,2일 전,뉴시스,"대구시, 2022 대구시민생활체육대축전 개최",http://www.newsis.com/view/?id=NISX20220922_0002023131&cID=10810&pID=10800, 지역 생활 체육인들의 우정과 화합의 큰 축제인 '2022 대구시민생활체육대축전'이 3년 만에 개최된다. 22일 대구시에 따르면 2022 대구시민생활체육대축전이 오는 24일과 25일 양일간 시민체육관 외 15개 경기장에서... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F023%2F2022%2F09%2F20%2F3717070.jpg&type=ff264_180&expire=2&refresh=true,4일 전,조선일보 ,"후배 성추행한 선배들, 쉬쉬한 코치들... 대구 고교 발칵",https://www.chosun.com/national/incident/2022/09/20/6I7T34A6UBHVHF5FEV5YVIL2AU/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news, 대구의 한 고등학교 운동부에서 폭행 관련 신고가 접수돼 경찰과 교육당국이 진상을 조사 중이다. 20일 대구시교육청과 경찰 등에 따르면 대구 지역 한 고교 운동부 1·2학년 학생들이 “선배들에게 폭행과 성추행 등 가혹... ,사회
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2022%2F09%2F20%2F13449690.jpg&type=ff264_180&expire=2&refresh=true,4일 전,연합뉴스 ,"대구 이슬람사원, '공사 중지' 취소소송 대법서 최종 승소",https://www.yna.co.kr/view/AKR20220920087100004?input=1195m," 행정"" 대구 북구에 이슬람사원을 짓는 이슬람교 신자들이 공사를 막은 북구청을 상대로 낸 소송에서 최종 승소했다. 20일 법조계에 따르면 대법원 1부(주심 오경미 대법관)는 이달 16일 대구 북구청장의 상고를... ",세계
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2022%2F09%2F24%2F13460172.jpg&type=ff264_180&expire=2&refresh=true,16시간 전,연합뉴스,코로나 신규 확진 대구 1592명·경북 1648명,https://www.yna.co.kr/view/AKR20220924023300053?input=1195m, 대구와 경북에서 코로나19 확진자가 3천240명 새로 나왔다. 24일 대구시에 따르면 오전 0시 기준 지역에서 전날 하루동안 발생한 코로나19 신규 확진자 수는 1천592명이다. 이로써 지금까지 대구지역 누적... ,코로나
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F09%2F23%2F11436550.jpg&type=ff264_180&expire=2&refresh=true,1일 전,뉴시스,"대구시, 26일부터 실외마스크 착용 자율 전환",http://www.newsis.com/view/?id=NISX20220923_0002024692&cID=10810&pID=10800," 대구시는 실외 집회, 공연 및 스포츠 경기 관람 마스크 착용 의무를 전면 자율로 전환한다. 23일 대구시에 따르면 실외마스크 착용 대상인 50인 이상 참석하는 실외 집회·공연 및 스포츠 경기 관람 마스크 착용 의무를 전면... ",사회
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F421%2F2022%2F09%2F23%2F6351830.jpg&type=ff264_180&expire=2&refresh=true,1일 전,뉴스1,"대구기후위기비상행동 ""범정부적 기후위기 대책 "" 촉구",https://www.news1.kr/articles/4811716," 대구기후위기비상행동은 23일 대구시 동인청사 앞에서 기자회견을 열고 기후위기에 대처할 수 있는 대책 마련을 정부와 대구시에 촉구했다. 이 단체는 ""폭염, 산불, 가뭄, 홍수가 일상이 된 기후재난의 한복판을 살아가고... ",사회
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F09%2F21%2F11430477.jpg&type=ff264_180&expire=2&refresh=true,3일 전,뉴시스,"대구시, 제22회 대구국제식품산업전 개최",http://www.newsis.com/view/?id=NISX20220921_0002020597&cID=10810&pID=10800, 대구시는 비수도권 최대 규모의 식품 박람회인 제22회 대구국제식품산업전을 개최한다. 21일 대구시에 따르면 오는 22일부터 25일까지 4일간 대구시 북구 산격동 엑스코 서관에서 '제22회 대구 국제식품 산업전(K-FOOD EXPO... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F312%2F2022%2F09%2F24%2F571545.jpg&type=ff264_180&expire=2&refresh=true,4시간 전,텐아시아,"'돌싱글즈' 추성연, 대구에 여자친구 생겼나…럽스타그램?[TEN★]",https://tenasia.hankyung.com/topic/article/2022092432684," '돌싱글즈' 추성연이 대구 야경을 즐겼다. 최근 추성연은 자신의 인스타그램을 통해 ""다음엔 정상이야⛰️""라는 글과 함께 사진을 게재했다. 공개된 사진 속 추성연은 대구에 위치한 산 전망대에서 여유를 즐기고 있다.... ",생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F657%2F2022%2F09%2F23%2F7028.jpg&type=ff264_180&expire=2&refresh=true,1일 전,대구MBC ,"대구 아침 16도, 낮 27도…큰 일교차 유의",https://dgmbc.com/article/llPw-VeJIRQEWGs," 오늘(23일) 대구의 기온 16도, 안동 14도, 김천 12도로 시작해, 낮에는 대구 27도, 안동 25도, 김천 26도까지 오르겠는데요. 낮과 밤의 기온차가 10도에서 많게는 15도로 크게 벌어지겠습니다. 아침에는 선선하지만, 낮에는... ",생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F056%2F2022%2F09%2F24%2F11344608.jpg&type=ff264_180&expire=2&refresh=true,5시간 전,KBS,"대구 1,592명·경북 1,648명 확진…감소세 계속",https://news.kbs.co.kr/news/view.do?ncd=5563551&ref=A," 코로나19 감소세가 이어지며 대구 경북의 하루 확진자 수가 이틀째 3천 명대를 기록했습니다. 오늘 0시 기준 코로나19 신규 확진자는 대구 천 592명, 경북 천 648명입니다. 지난주보다 확진자가 대구 경북 각각 8백여... ",코로나
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F079%2F2022%2F09%2F22%2F3688075.jpg&type=ff264_180&expire=2&refresh=true,2일 전,노컷뉴스,대구시의회 행정사무 감사 시민제보상황실 운영,https://www.nocutnews.co.kr/news/5821465, 대구시의회 행정사무 감사를 위한 시민제보상황실이 설치 운영된다. 대구시의회는 오는 11월 8일부터 11월 21일까지 진행되는 2022년도 행정사무감사를 효율적이고 내실있게 추진하기 위해 행정사무감사... ,사회
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F421%2F2022%2F09%2F22%2F6348722.jpg&type=ff264_180&expire=2&refresh=true,2일 전,뉴스1,"GS건설, 대구 '대명자이 그랜드시티' 10월 분양",https://www.news1.kr/articles/4810238," GS건설은 대구 남구 대명3동 뉴타운 재개발 사업을 통해 들어서는 '대명자이 그랜드시티'를 10월 분양한다고... 달구벌대로와 성당로, 앞산순환대로가 인접해 차량을 이용해 대구시내외의 이동이 편리하다.... ",경제
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2022%2F09%2F22%2F13456923.jpg&type=ff264_180&expire=2&refresh=true,2일 전,연합뉴스,"이정선 광주교육감 옛 대구감옥터 참배 눈길…""역사 현장 교훈""",https://www.yna.co.kr/view/AKR20220922162400054?input=1195m," 호남기관장 중 첫 행보…광주·대구 역사교육 협력 '성과' 주목 이정선 광주시교육감이 22일 한말 호남 의병장들이 순국한 대구 중구 삼덕동 옛 대구감옥 터를 찾아 헌화, 참배했다. 대구감옥은 일제 침탈이 본격화한... ",IT과학
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5291%2F2022%2F09%2F24%2F1637864.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,12시간 전,국제뉴스,"홍준표 대구광역시장, 해프닝과 가십만 온통 나라 뒤덥어 나라 현실 안타까워",https://www.gukjenews.com/news/articleView.html?idxno=2557427," 홍준표 대구시장 24일 홍준표 대구시장은 자신의 페이스 북에서 ""사건이 일어 났을 때는 언제나 정면 돌파를 해야지 곤란한 순간을 모면하기 위해 거짓말을 하면 거짓이 거짓을 낳고 일은 점점 커집니다. 뒤늦게라도 잘못을... ",정치
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F031%2F2022%2F09%2F23%2F699061.jpg&type=ff264_180&expire=2&refresh=true,1일 전,아이뉴스24,대구시의회 행감 시민제보상황실 운영,http://www.inews24.com/view/1521687," 대구광역시의회는 오는 11월 8일부터 11월 21일까지 진행되는 2022년도 행정사무감사를 효율적이고 내실있게... 등 대구시정 전반에 대한 내용이다. 다만 개인의 사생활을 침해하거나, 재판 또는 수사 중인 사건의 소추에... ",사회
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F421%2F2022%2F09%2F24%2F6352801.jpg&type=ff264_180&expire=2&refresh=true,18시간 전,뉴스1,"'미분양 무덤' 대구에 이달 중 2300가구 신규 분양…""성공 장담 못해""",https://www.news1.kr/articles/4811915, '미분양 무덤'에서 좀체로 헤어나지 못하고 있는 대구에서 이달 안에 2300가구가 넘는 대규모 아파트가 새로 공급될 예정이다. 24일 부동산R114 분양캘린더를 보면 대구 서구 내당동 '두류스타힐스' 840가구... ,IT과학
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F005%2F2022%2F09%2F23%2F1554718.jpg&type=ff264_180&expire=2&refresh=true,14면 1단,국민일보,‘2022 대구스트리트모터페스티벌’ 3년 만에 열려,https://news.kmib.co.kr/article/view.asp?arcid=0924265011&code=11131419&cp=nv, 미래 모빌리티 산업도시를 꿈꾸는 대구시가 3년 만에 ‘2022 대구 스트리트모터 페스티벌’(이하 모터쇼)을 연다고 22일 밝혔다. 올해 11회를 맞은 모터쇼는 24~25일 대구 중구 남산동 자동차부속골목에서 개최된다.... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F657%2F2022%2F09%2F24%2F7071.jpg&type=ff264_180&expire=2&refresh=true,7시간 전,대구MBC ,대구·경북 25일 구름 많음···대구 아침 최저 14도,https://dgmbc.com/article/8cjD6FrJqm," 9월 24일 대구·경북은 맑고 쾌청한 날씨를 보였습니다. 25일은 구름이 많은 가운데 아침 최저기온이 대구 14도, 안동 13도, 포항 16도 등 경북 북부 내륙을 중심으로 10도 안팎까지 내려가 쌀쌀하겠습니다. 낮... ",생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F657%2F2022%2F09%2F23%2F7053.jpg&type=ff264_180&expire=2&refresh=true,1일 전,대구MBC ,깊어가는 가을…대구·경북 일교차 10도 이상,https://dgmbc.com/article/sjQwembZbG058Zq_VgV5," 화요일 대구의 아침 기온은 15.6도, 낮 기온은 22.9도 보이며 평년보다도 낮았습니다. 목요일에는 아침 최저기온 11.6도를 보이며 19일과 비교하면 7.2도가량 낮아졌고요. 일교차도 13.5도 가까이 벌어졌습니다. 9월의 마지막... ",생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F09%2F22%2F11434289.jpg&type=ff264_180&expire=2&refresh=true,2일 전,뉴시스,"대구시, 골목상권 활성화 홍보 콘텐츠 공모",http://www.newsis.com/view/?id=NISX20220922_0002023178&cID=10810&pID=10800, 대구시는 '2022 대구 골목상권 홍보콘텐츠 공모전'을 개최한다고 22일 밝혔다. 지역 골목상권에 대한 대중 인지도를 확산시키고 골목 경제 활성화를 도모하고자 마련된 이번 행사는 골목상권 홍보 및 활성화에 관심 있는 전... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F015%2F2022%2F09%2F23%2F4753559.jpg&type=ff264_180&expire=2&refresh=true,1일 전,한국경제,8개의 테마로 걷는 대구문학로드... 문학관광의 보고,https://www.hankyung.com/life/article/202209232020h, 대구문학관(관장 하청호)은 우리나라 근현대문학과 문인들의 발자취를 따라 걷는 기존 3개의 테마로 진행되던 문학 여행 프로그램을 ‘8개의 테마로 걷는 대구문학로드’로 전면 개편 운영한다. 대구문학관이 위치한... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5138%2F2022%2F09%2F24%2F400895.jpg&type=ff264_180&expire=2&refresh=true,17시간 전,e대한경제,"대구시, 미래 융복합 첨단교통정보 서비스 촉진",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202209231455317890194," 내비게이션을 시작으로 자율주행차로 교통정보 제공 확대 예정 대구시는 지난23일, 도로교통공단, 3개... 대구시가 전국 최초로 추진한 센터방식＊의 실시간 교통신호정보 개방 사업은 2022년 3월부터 대구국가산단을... ",경제
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F088%2F2022%2F09%2F21%2F776078.jpg&type=ff264_180&expire=2&refresh=true,1면 TOP,매일신문 ,대구 군부대 이전 본격화…홍 시장 “국방부와 연내 MOU 목표”,https://news.imaeil.com/page/view/2022092116262152524," 대구시가 추진 중인 군부대 통합 이전 사업의 향방이 빠르면 올해 내로 가시화된다. 홍준표 대구시장은 21일 자신의 페이스북을 통해 ""가능한 연내 국방부와 부대 이전 관련 양해각서를 체결하겠다""고 밝혔다. 홍 시장은... ",사회
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F088%2F2022%2F09%2F23%2F776386.jpg&type=ff264_180&expire=2&refresh=true,4면 TOP,매일신문 ,"대구 저소득 조손가정 조부모 대부분 ""10년 이상 손자녀 키웠다""",https://news.imaeil.com/page/view/2022092316082599681," "" 지난해 대구 서구에서 10대 손자가 키워준 친할머니를 살해한 사건이 발생한 지 1년이 흐른 가운데 대구 저소득 조손가정의 조부모 대부분이 자녀의 가정해체로 손자녀를 10년 이상 키우면서 양육과 생계에 어려움을... ",경제
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F088%2F2022%2F09%2F23%2F776380.jpg&type=ff264_180&expire=2&refresh=true,4면 1단,매일신문 ,국민 97% 코로나 항체 보유…'미진단 감염자' 대구 19.3·경북 22.1%,https://news.imaeil.com/page/view/2022092314564180711," 대구의 숨은 감염자 비율은 19.3%로 전국 숨은 감염자 비율 평균(19.5%)과 비슷했고, 경북은 22.1%로 전국 평균을 상회했다. 방역 당국은 이번 조사가 항체 유무만 파악한 것이기 때문에 집단 면역이 충분히 형성됐다고... ",코로나
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F421%2F2022%2F09%2F24%2F6352701.jpg&type=ff264_180&expire=2&refresh=true,21시간 전,뉴스1,"[오늘의 날씨]대구·경북(24일,토)…아침기온 뚝, 일교차 10도 이상",https://www.news1.kr/articles/4812005," 24일 대구와 경북지역은 아침기온이 뚝 떨어져 쌀쌀하다. 대구기상청에 따르면 중국 산둥반도 부근에 위치한 고기압의 영향을 받아 대체로 맑다. 아침 최저기온은 봉화 7도, 안동·김천 11도, 대구·울진 13도, 포항... ",생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F5380%2F2022%2F09%2F23%2F726415.jpg&type=ff264_180&expire=2&refresh=true,1일 전,쿠키뉴스,대구대·영진전문대·계명문화대·대구가톨릭대 [대학소식],http://www.kukinews.com/newsView/kuk202209230139," 대구대 난임연구소, 난임 전문 클래스 ‘리빙랩’ 운영 대구대 난임연구소 리빙랩 프로그램 참가자 단체 사진. (대구대 제공) 2022.09.23 대구대 난임연구소가 난임자를 위한 ‘리빙랩(Living Lab)’ 운영을 통해 지역 저출산... ",생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F088%2F2022%2F09%2F21%2F776108.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,12면 1단,매일신문 ,대구 신성장 거점 '도심융합특구' 2년째 답보 상태,https://news.imaeil.com/page/view/2022092119185187384, 정부가 지역균형발전을 위해 '제2판교' 조성을 목표로 추진하는 '대구형 뉴딜 도심융합특구' 사업이 2년째... 21일 국토교통부와 대구시 등에 따르면 정부가 지역균형발전 정책 중 하나로 지역 혁신 거점을 마련하기 위해... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F657%2F2022%2F09%2F23%2F7040.jpg&type=ff264_180&expire=2&refresh=true,1일 전,대구MBC ,대구 아파트 매매가격 45주째 하락,https://dgmbc.com/article/LMiyAkCx93yEgdt," 대구 아파트 매매가격의 하락세가 45주째 이어졌습니다. 한국부동산원이 발표한 9월 셋째 주 주간 아파트 가격 동향에 따르면, 대구의 아파트 매매 변동률은 지난주와 비교해 -0.24%를 기록해 45주 연속... ",경제
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F001%2F2022%2F09%2F21%2F13452282.jpg&type=ff264_180&expire=2&refresh=true,3일 전,연합뉴스,전국교육감협의회 총회 대구서 개최…10개 안건 심의,https://www.yna.co.kr/view/AKR20220921078300053?input=1195m, IB 월드스쿨 인증받은 사대 부설 초·중·고 수업 참관 대구시교육청은 오는 22일 오후 3시 호텔 수성에서... 안건 심의 후 강은희 대구시교육감이 '생각을 꺼내는 교육 국제 바칼로레아(IB)'를 주제로 IB 교육 전반에 대해... ,생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F016%2F2022%2F09%2F23%2F2044212.jpg&type=ff264_180&expire=2&refresh=true,1일 전,헤럴드경제,"전국시도교육감협의회, 대구서 제86회 총회 개최",http://news.heraldcorp.com/view.php?ud=20220923000177," 전국시도교육감협의회(이하 협의회)는 22일 대구 호텔 수성에서 제86회 총회를 열어 지방교육재정교부금 안정적 확보, 교육감 선거 제도 개편 대응을 위한 특위를 구성하는 등 10개 안건을 심의·의결했다. 교부금 관련... ",생활문화
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F277%2F2022%2F09%2F21%2F5150617.jpg&type=ofullfill264_180_gray&expire=2&refresh=true,3일 전,아시아경제 ,"대구서 만난 홍준표-안철수…""비정상적 구조로 정부·여당 움직여""",https://view.asiae.co.kr/article/2022092114284264599," 홍준표 대구시장과 안철수 국민의힘 의원이 21일 만나 당 현안에 대해 허심탄회하게 대화를 나누고 ""당이 빨리 정상화돼야 한다""는 데 공감했다. 이날 대구시청 산격청사에서 만난 두 사람은 당 현안에 대해 약 30여 분간... ",정치
https://search.pstatic.net/common/?src=https%3A%2F%2Fimgnews.pstatic.net%2Fimage%2Forigin%2F003%2F2022%2F09%2F22%2F11433056.jpg&type=ff264_180&expire=2&refresh=true,2일 전,뉴시스,대구 자동차 검사장서 불…인명피해 없어,http://www.newsis.com/view/?id=NISX20220922_0002022460&cID=10810&pID=10800, 대구의 한 자동차 검사장에서 원인을 알 수 없는 화재가 발생했다. 22일 대구소방안전본부에 따르면 지난 21일 오후 10시52분께 달서구 월암동의 한 자동차 검사장에서 '정비공장 지붕에서 불꽃이 보인다'는 신고가... ,사회
